1902365523341208, -1.8531342, 5.9288635, 7.11409
1902365528376608, -1.7932892, 6.0078735, 7.308014
1902365533442526, -1.733429, 6.072525, 7.375046
1902365538508444, -1.6951294, 6.1108246, 7.5043335
1902365543574362, -1.7454071, 6.103653, 7.7102356
1902365548640280, -1.8315887, 6.115616, 7.8610687
1902365553706198, -2.001587, 6.091675, 8.059799
1902365558772116, -2.104538, 6.089279, 8.20105
1902365563838034, -2.2098694, 6.012665, 8.292038
1902365568903952, -2.3247986, 5.9887238, 8.308792
1902365574000387, -2.456482, 5.976761, 8.236969
1902365579066305, -2.583374, 5.9839325, 8.148376
1902365584132223, -2.6958923, 6.000702, 8.040634
1902365589198141, -2.7437897, 6.0318146, 8.071762
1902365594264059, -2.7030792, 6.048584, 8.098099
1902365599329977, -2.6911163, 6.036606, 8.129227
1902365604395895, -2.7270203, 6.041397, 8.069366
1902365609461813, -2.7198334, 6.127594, 7.9305115
1902365614558249, -2.7964478, 6.1850433, 7.7892456
1902365619624167, -2.801239, 6.2520905, 7.683899
1902365624690085, -2.8060303, 6.309555, 7.561798
1902365629756003, -2.808426, 6.333496, 7.4923706
1902365634821921, -2.844345, 6.3957367, 7.5043335
1902365639887839, -2.9065857, 6.443619, 7.5354614
1902365644984274, -2.9449005, 6.472351, 7.6575623
1902365650050192, -3.021515, 6.4938965, 7.8371277
1902365655116110, -2.959259, 6.5082703, 8.045425
1902365660182028, -2.4421082, 6.831482, 8.143585
1902365665278464, -2.315216, 6.855423, 8.351883
1902365670344382, -2.6001282, 6.4771423, 8.454834
1902365675410300, -2.8539124, 6.0533752, 8.430893
1902365680506735, -3.0358734, 5.7852173, 8.493149
1902365685572653, -3.1076965, 5.787613, 8.622437
1902365690638571, -3.045456, 5.9552, 8.667923
1902365695704489, -2.9329224, 6.11322, 8.552994
1902365700770407, -2.9544678, 6.225754, 8.529053
1902365705866843, -3.1316376, 6.2760315, 8.65834
1902365710932760, -3.227417, 6.2832184, 8.648773
1902365715998678, -3.1747437, 6.21138, 8.703827
